"","X","ID","day","beep","observationID","missing","Sad","Lonely","Jittery","Nervous","Angry","Hostile","Happy","Excited"
"349",349,120,3,1,7,0,0,0,0.25,0.25,0,0,0.5,0.25
"350",350,120,3,2,8,0,0,0.25,0,0,0,0,0.25,0
"351",351,120,3,3,9,0,0,0.25,0,0,0,0,0.25,0.25
"352",352,120,4,1,10,0,0,0,0,0,0,0,0.25,0.25
"353",353,120,4,2,11,0,0,0,0,0.25,0,0,0.5,0.5
"354",354,120,4,3,12,0,0,0,0.25,0.25,0,0,0.5,0.5
"355",355,120,5,1,13,0,0,0.5,0,0,0,0,0.25,0
"356",356,120,5,2,14,1,NA,NA,NA,NA,NA,NA,NA,NA
"357",357,120,5,3,15,0,0,0,0,0,0,0,0.5,0.25
"358",358,120,6,1,16,0,0,0,0,0.5,0.25,0,0.25,0.25
"359",359,120,6,2,17,0,0,0,0,0.5,0.25,0,0.5,0.5
"360",360,120,6,3,18,0,0,0.25,0,0,0,0,0.5,0.5
"361",361,121,1,1,1,0,0.5,0.5,0.25,0.5,0.25,0,0.5,0.5
